"number","country"
1,"AFG"
2,"AGO"
3,"ALB"
4,"ARE"
5,"ARG"
6,"ARM"
7,"ATG"
8,"AUS"
9,"AUT"
10,"AZE"
11,"BDI"
12,"BEL"
13,"BEN"
14,"BFA"
15,"BGD"
16,"BGR"
17,"BHR"
18,"BHS"
19,"BIH"
20,"BLR"
21,"BLZ"
22,"BOL"
23,"BRA"
24,"BRB"
25,"BRN"
26,"BTN"
27,"BWA"
28,"CAF"
29,"CAN"
30,"CHE"
31,"CHL"
32,"CHN"
33,"CIV"
34,"CMR"
35,"COD"
36,"COG"
37,"COL"
38,"COM"
39,"CPV"
40,"CRI"
41,"CUB"
42,"CYP"
43,"CZE"
44,"DEU"
45,"DJI"
46,"DMA"
47,"DNK"
48,"DOM"
49,"DZA"
50,"ECU"
51,"EGY"
52,"ERI"
53,"ESP"
54,"EST"
55,"ETH"
56,"FIN"
57,"FJI"
58,"FRA"
59,"FSM"
60,"GAB"
61,"GBR"
62,"GEO"
63,"GHA"
64,"GIN"
65,"GMB"
66,"GNB"
67,"GNQ"
68,"GRC"
69,"GRD"
70,"GTM"
71,"GUY"
72,"HND"
73,"HRV"
74,"HTI"
75,"HUN"
76,"IDN"
77,"IND"
78,"IRL"
79,"IRN"
80,"IRQ"
81,"ISL"
82,"ISR"
83,"ITA"
84,"JAM"
85,"JOR"
86,"JPN"
87,"KAZ"
88,"KEN"
89,"KGZ"
90,"KHM"
91,"KIR"
92,"KNA"
93,"KOR"
94,"KWT"
95,"LAO"
96,"LBN"
97,"LBR"
98,"LBY"
99,"LCA"
100,"LIE"
101,"LKA"
102,"LSO"
103,"LTU"
104,"LUX"
105,"LVA"
106,"MAR"
107,"MDA"
108,"MDG"
109,"MDV"
110,"MEX"
111,"MHL"
112,"MKD"
113,"MLI"
114,"MLT"
115,"MMR"
116,"MNE"
117,"MNG"
118,"MOZ"
119,"MRT"
120,"MUS"
121,"MWI"
122,"MYS"
123,"NAM"
124,"NER"
125,"NGA"
126,"NIC"
127,"NLD"
128,"NOR"
129,"NPL"
130,"NRU"
131,"NZL"
132,"OMN"
133,"PAK"
134,"PAN"
135,"PER"
136,"PHL"
137,"PLW"
138,"PNG"
139,"POL"
140,"PRK"
141,"PRT"
142,"PRY"
143,"QAT"
144,"ROU"
145,"RUS"
146,"RWA"
147,"SAU"
148,"SDN"
149,"SEN"
150,"SGP"
151,"SLB"
152,"SLE"
153,"SLV"
154,"SOM"
155,"SRB"
156,"SSD"
157,"STP"
158,"SUR"
159,"SVK"
160,"SVN"
161,"SWE"
162,"SWZ"
163,"SYC"
164,"SYR"
165,"TCD"
166,"TGO"
167,"THA"
168,"TJK"
169,"TKM"
170,"TLS"
171,"TON"
172,"TTO"
173,"TUN"
174,"TUR"
175,"TUV"
176,"TZA"
177,"UGA"
178,"UKR"
179,"URY"
180,"USA"
181,"UZB"
182,"VCT"
183,"VEN"
184,"VNM"
185,"VUT"
186,"WSM"
187,"YEM"
188,"ZAF"
189,"ZMB"
190,"ZWE"
191,"ABW"
192,"AND"
193,"ASM"
194,"BMU"
195,"CHI"
196,"CUW"
197,"CYM"
198,"FRO"
199,"GIB"
200,"GRL"
201,"GUM"
202,"HKG"
203,"IMN"
204,"MAC"
205,"MAF"
206,"MCO"
207,"MNP"
208,"NCL"
209,"PRI"
210,"PSE"
211,"PYF"
212,"SMR"
213,"SXM"
214,"TCA"
215,"TWN"
216,"VGB"
217,"VIR"
218,"XKX"
